Characteristic Name,Method Speciation,Sample Fraction,Parameter,Region,Publisher,Guideline Name,Status,Media Name,Ecosystem,Protection Level,Value,Unit,Notes,Look-up table ,Documentation/Spec Sheet Url,Citation,Reviewer,Last Reviewed
Ammonia ,as N,",Total",Ammonia ,"CA-BC, CA-QC",BC Gov,,Approved,Water,Freshwater,Acute,if (0 ≤ temperature ≤ 20 ∧ 6.5 ≤ pH < 8)  \{ {100{{0.52 \over 10^{0.03[20-temperature]}} / {(1+10^{7.4-pH}) \over 1.25} \over 2*0.822} \over {1 \over 100(10^{{0.09018+2729.92 \over [273.2+ temperature]}-pH}+1)}} \} else if (0 ≤ temperature ≤ 20 ∧ 8 ≤ pH ≤ 9)  \{ {100{{0.52 \over 10^{0.03[20-temperature]}} \over 2*0.822} \over {1 \over 100(10^{{0.09018+2729.92 \over [273.2+ temperature]}-pH}+1)}}  \} else if (temperature ≤ 20 ∧ pH < 6.5) \{ 23.8 \} else if (temperature ≤ 20 ∧ 9 < pH ≤ 14) \{ 0.752 \} else if (20 < temperature) \{ NULL \},mg/L,,Table 26C,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-amonia-tech.pdf#page=25,"Guideline is dependent on water temperature (deg C) and pH. Temperature maximum for the model is 20 degrees celsius.  To estimate protective concentration above 20 degrees celsius, see Emerson, et al. 1975. J. Fish. Res. Board Can. 32:2379-2383.",MK,2020-12-14
Ammonia ,as N,",Total",Ammonia ,"CA-BC, CA-QC",BC Gov,,Approved,Water,Freshwater,Chronic,if (temperature ≤ 20 ∧ pH < 6.5) \{ 1.21 \} else if (0 ≤ temperature < 15 ∧ 6.5 ≤ pH < 7.7) \{ {{{{0.8 \over 10^{0.03[20-temperature]}} \over {(1+10^{7.4-pH}) \over 1.25}} \over {(24*10^{7.7-pH}) \over (1+10^{7.4-pH})}*0.822*100} \over {1 \over 100(10^{{0.09018+2729.92 \over (273.2+ temperature)}-pH}+1)}} \} else if (0 ≤ temperature < 15 ∧ 7.7 ≤ pH < 8) \{ {{{{0.8 \over 10^{0.03*[20-temperature]}} \over {(1+10^{7.4-pH}) \over 1.25}} \over 16*0.822*100} \over {1 \over 100(10^{{0.09018+2729.92 \over [273.2+ temperature]}-pH}+1)}} \} else if (0 ≤ temperature < 15 ∧ 8 ≤ pH ≤ 9) \{ {{{0.8 \over 10^{0.03*[20-temperature]}} \over 16*0.822*100} \over {1 \over 100(10^{{0.09018+2729.92 \over [273.2+ temperature]}-pH}+1)}} \} else if (15 ≤ temperature < 20 ∧ 6.5 ≤ pH < 7.7) \{ {{{{0.8 \over 1.14} \over {(1+10^{7.4-pH}) \over 1.25}} \over {(24*10^{7.7-pH}) \over (1+10^{7.4-pH})}*0.822*100} \over {1 \over 100(10^{{0.09018+2729.92 \over [273.2+ temperature]}-pH}+1)}} \} else if (15 ≤ temperature < 20 ∧ 7.7 ≤ pH < 8) \{ {{{{0.8 \over 1.14} \over {(1+10^{7.4-pH}) \over 1.25}} \over 16*0.822*100} \over {1 \over 100(10^{{0.09018+2729.92 \over [273.2+ temperature]}-pH}+1)}} \} else if (15 ≤ temperature <20 ∧ 8 ≤ pH ≤ 9) \{ {{{0.8 \over 1.14} \over 16*0.822*100} \over {1 \over 100(10^{{0.09018+2729.92 \over [273.2+ temperature]}-pH}+1)}} \} else if (temperature ≤ 20 ∧ 9 < pH ≤ 14) \{ 0.102 \} else if (20 < temperature) \{ NULL \},mg/L,,Table 26D,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-amonia-tech.pdf#page=25,"Guideline is dependent on water temperature (deg C) and pH. Temperature maximum for the model is 20 degrees celsius.  To estimate protective concentration above 20 degrees celsius, see Emerson, et al. 1975. J. Fish. Res. Board Can. 32:2379-2383.",MK,2020-12-14
Acrolein,,,Acrolein,"US, CA-AB",USEPA,WQC,Approved,Water,Freshwater,Acute,3,ug/L,Averaging period is 4d for long-term and 1hr for short-term,,https://www.epa.gov/sites/production/files/2018-12/documents/ambient-wqc-acrolein.pdf,,,
Acrolein,,,Acrolein,"US, CA-AB",USEPA,WQC,Approved,Water,Freshwater,Chronic,3,ug/L,Averaging period is 4d for long-term and 1hr for short-term,,https://www.epa.gov/sites/production/files/2018-12/documents/ambient-wqc-acrolein.pdf,,,
,,,"Acetamide, N-(2-Hydroxyphenyl)",CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,30,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-10-26
,,,Acetanilide,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,100,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-10-26
Anthracene,,",Total",Anthracene,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,4,ug/L,,,"https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
",Phototoxic guideline: 0.1,MK,2020-12-14
Aldrin,,,Aldrin,US,USEPA,WQC,Approved,Water,Freshwater,Acute,3,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/ambient-wqc-aldrin-1980.pdf,,,
Antimony,,",Total",Antimony (III),"CA-BC,CA-YT",BC Gov,,Working,Water,Freshwater,Chronic,9,ug/L,,,http://www.waterquality.gov.au/anz-guidelines/resources/previous-guidelines/anzecc-armcanz-2000,,MK,2020-12-14
Antimony,,",Total",Antimony (III),"CA-BC,CA-YT",BC Gov,,Working,Water,Marine,Chronic,270,ug/L,,,http://www.waterquality.gov.au/anz-guidelines/resources/previous-guidelines/anzecc-armcanz-2001,,MK,2020-12-14
Arsenic,,",Total",Arsenic,CA-BC,BC Gov,,Approved,Water,Freshwater,Acute,5,ug/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/arsenic-or.pdf,,MK,2020-12-14
Arsenic,,",Total",Arsenic,CA-BC,BC Gov,,Approved,Water,Marine,Acute,12.5,ug/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/arsenic-or.pdf,,MK,2020-12-14
Aldrin,,,Aldrin,US,USEPA,WQC,Approved,Water,Marine,Acute,1.3,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/ambient-wqc-aldrin-1980.pdf,,,
"Alkalinity, total",as CaCO3,,Alkalinity,"US, CA-AB",USEPA,WQC,Approved,Water,Freshwater,Chronic,20,mg/L,"The CCC of 20mg/L is a minimum value except where alkalinity is naturally lower, in which case the criterion cannot be lower than 25% of the natural level. NO FORMULA - too complicated",,https://www.epa.gov/sites/production/files/2018-10/documents/quality-criteria-water-1986.pdf,,,
.alpha.-Endosulfan,,,alpha-Endosulfan,US,USEPA,WQC,Approved,Water,Freshwater,Acute,0.22,ug/L,This value was derived from data for endosulfan and is most appropriately applied to the sum of alpha-endosulfan and beta-endosulfan.,,https://www.epa.gov/sites/production/files/2015-10/documents/45fedreg7.pdf,,,
Barium,,",Total",Barium,"CA-BC,CA-YT",LIT ,,,Water,Freshwater,Chronic,1,mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,"Haywood, G. P., and R. W. Drinnan (Dobrocky Seatech Ltd.). 1983. A Literature Review and Report on Barium Toxicity in Freshwater, In Relation to the Monkman Coal Project, February, 1983, 49 p. (Prepared for: Petro-Canada Exploration Ltd.).",MK,2020-12-14
.alpha.-Endosulfan,,,alpha-Endosulfan,US,USEPA,WQC,Approved,Water,Freshwater,Chronic,0.056,ug/L,This value was derived from data for endosulfan and is most appropriately applied to the sum of alpha-endosulfan and beta-endosulfan.,,https://www.epa.gov/sites/production/files/2015-10/documents/45fedreg7.pdf,,,
.alpha.-Endosulfan,,,alpha-Endosulfan,US,USEPA,WQC,Approved,Water,Marine,Acute,0.034,ug/L,This value was derived from data for endosulfan and is most appropriately applied to the sum of alpha-endosulfan and beta-endosulfan.,,https://www.epa.gov/sites/production/files/2015-10/documents/45fedreg7.pdf,,,
.alpha.-Endosulfan,,,alpha-Endosulfan,US,USEPA,WQC,Approved,Water,Marine,Chronic,0.0087,ug/L,This value was derived from data for endosulfan and is most appropriately applied to the sum of alpha-endosulfan and beta-endosulfan.,,https://www.epa.gov/sites/production/files/2015-10/documents/45fedreg7.pdf,,,
Benz[a]anthracene,,",Total",Benz[a]anthracene,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,0.1,ug/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf,Phototoxic guideline: 0.1,MK,2020-12-14
Benzene,,",Total",Benzene,"CA-AB,CA-BC,CA-YT",BC Gov,,Interim,Water,Freshwater,Chronic,40,ug/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/benzene/benzene_overview.pdf,,MK,2020-12-14
Benzene,,",Total",Benzene,"CA-AB,CA-BC,CA-YT",BC Gov,,Interim,Water,Marine,Chronic,110,ug/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/benzene/benzene_overview.pdf,,MK,2020-12-14
Acridine,,,Acridine (substituted PAH),"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,4.4,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/201/,,,
Ammonia,as N,Unfiltered,Ammonia,US,USEPA,WQC,Approved,Water,Freshwater,Acute,"min({ 0.275 \over 1 + 10^{7.204-pH}} + {39 \over 1+10^{pH-7.204}}, 0.7249{0.0114 \over 1+10^{7.204-pH}} + {1.6181 \over 1+10^{pH-7.204}} (23.12[10^{0.036(20-temperature)}]) )",mg/L,,Table 5a,https://www.epa.gov/sites/production/files/2015-08/documents/aquatic-life-ambient-water-quality-criteria-for-ammonia-freshwater-2013.pdf#page=53,,MK,2020-09-15
Benzo[a]pyrene,,",Total",Benzo[a]pyrene,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,0.01,ug/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf,No differentiation between acute and chronic in BC guideline,MK,2020-12-14
Benzo[a]pyrene,,",Total",Benzo[a]pyrene,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Acute,0.01,ug/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf,No differentiation between acute and chronic in BC guideline,MK,2020-12-14
Benzo[a]pyrene,,",Total",Benzo[a]pyrene,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,0.01,ug/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf,No differentiation between acute and chronic in BC guideline,MK,2020-12-14
Beryllium,,",Total",Beryllium,"CA-BC,CA-YT",ANZECC,,,Water,Freshwater,Chronic,0.13,ug/L,,,http://www.waterquality.gov.au/anz-guidelines/resources/previous-guidelines/anzecc-armcanz-2000,"Australia and New Zealand Environment and Conservation Council (ANZECC). 2000a. Australian and New Zealand guidelines for fresh and marine water quality, 2000. Volume 1, October 2000. National Water Quality Management Strategy, Paper No. 4. Canberra, AU: Australian and New Zealand Environment and Conservation. 314p.",MK,2020-12-14
Beryllium,,",Total",Beryllium,"CA-BC,CA-YT",US NAS-NAE,,,Water,Marine,Chronic,100,ug/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,"National Academy of Sciences-National Academy of Engineering (NAS-NAE). 1972. Water Quality Criteria 1972. Washington, DC (US): National Academy of Sciences and National Academy of Engineering. 625 p. (The Blue Book).",MK,2020-12-14
Boron,,",Total",Boron,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,1.2,mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron/boron-tech-appnx.pdf,,MK,2020-12-14
Boron,,",Total",Boron,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,1.2,mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/boron/boron-tech-appnx.pdf,,MK,2020-12-14
Ammonia,as N,Unfiltered,Ammonia,US,USEPA,WQC,Approved,Water,Freshwater,Chronic,"0.8876 [{0.0278 \over 1 + 10^{7.688 - pH}} + {1.1994 \over 1 + 10^{pH - 7.688}}][2.126(10^{0.028[10 - max(temperature, 7)]})]",mg/L,,Table 6,https://www.epa.gov/sites/production/files/2015-08/documents/aquatic-life-ambient-water-quality-criteria-for-ammonia-freshwater-2013.pdf#page=59,,MK,2020-09-15
Chrysene,,",Total",Chrysene,CA-BC,BC Gov,,Approved,Sediment,Marine,No Effect Level,0.2,ug/g,,Table 27,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf,,MK,2020-12-07
Acrolein,,,Acrolein,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.03,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-10-26
Aldicarb,,Total,Aldicarb,"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1,ug/L,"Applies to the concentration of total aldicarb residues (comprising aldicarb, aldicarb sulphoxide (ASO), and aldicarb sulphone (ASO2)",,http://ceqg-rcqe.ccme.ca/download/en/140/,,,
Aldicarb,,Total,Aldicarb,"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,0.15,ug/L,"Applies to the concentration of total aldicarb residues (comprising aldicarb, aldicarb sulphoxide (ASO), and aldicarb sulphone (ASO2)",,http://ceqg-rcqe.ccme.ca/download/en/140/,,,
Cadmium,,Dissolved,Cadmium,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Acute,if (hardness ≤ 7) \{ 0.02 \} else if (7 < hardness < 455) \{ e^{1.03ln(hardness)-5.274} \} else if (455 < hardness) \{ 2.8 \},ug/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/cadmium/cadmium.pdf,,MK,2020-09-14
Cadmium,,Dissolved,Cadmium,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,if (hardness ≤ 3.4) \{ 0.02 \} else if (3.4 < hardness < 285) \{ e^{0.736ln(hardness)-4.943} \} else if (285 < hardness) \{ 0.46 \},ug/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/cadmium/cadmium.pdf,,MK,2020-09-14
"Aldrin + dieldrin mix, unspecified",,,Aldrin + Dieldrin,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,0.001,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-10-26
Aluminum,,Total,Aluminum,"CA, CA-SK,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,if (0 ≤ pH < 6.5) \{ 5 \} else if (6.5 ≤ pH ≤ 14) \{ 100 \},ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=4,,MK,2020-10-09
Aminoazobenzene,,,Aminoazobenzene,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.8,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-10-26
,,",Total",Aminoethyl piperazine,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,2400,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Arsenic,,Total,Arsenic,"US,CA-QC,CA-MB",USEPA,WQC,Approved,Water,Freshwater,Acute,340,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/metals-criteria-interpret-aqlife-memo.pdf,,,
Dibutyl phthalate,,",Total",Di-n-butyl phthalate,CA-BC,BC Gov,,Working,Sediment,Marine,No Effect Level,2.2,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,,
Dibutyl phthalate,,",Total",Di-n-butyl phthalate,CA-BC,BC Gov,,Working,Sediment,Marine,Probable Effect Level ,17,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,,
Di-n-octyl phthalate,,",Total",Di-n-octyl phthalate,CA-BC,BC Gov,,Working,Sediment,Marine,No Effect Level,0.58,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,,
Di-n-octyl phthalate,,",Total",Di-n-octyl phthalate,CA-BC,BC Gov,,Working,Sediment,Marine,Probable Effect Level ,45,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,,
Dibenzofuran,,",Total",Dibenzofuran,CA-BC,BC Gov,,Working,Sediment,Marine,No Effect Level,0.15,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,,
Dibenzofuran,,",Total",Dibenzofuran,CA-BC,BC Gov,,Working,Sediment,Marine,Probable Effect Level ,0.58,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,,
Diethyl phthalate,,",Total",Diethyl phthalate,CA-BC,BC Gov,,Working,Sediment,Marine,No Effect Level,0.61,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,,
Diethyl phthalate,,",Total",Diethyl phthalate,CA-BC,BC Gov,,Working,Sediment,Marine,Probable Effect Level ,1.1,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,,
Arsenic,,Total,Arsenic,"US,CA-QC,CA-MB",USEPA,WQC,Approved,Water,Freshwater,Chronic,150,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/metals-criteria-interpret-aqlife-memo.pdf,,,
Arsenic,,Total,Arsenic,"US,CA-QC,CA-MB",USEPA,WQC,Approved,Water,Marine,Acute,69,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/metals-criteria-interpret-aqlife-memo.pdf,,,
Arsenic,,Total,Arsenic,"US,CA-QC,CA-MB",USEPA,WQC,Approved,Water,Marine,Chronic,36,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/metals-criteria-interpret-aqlife-memo.pdf,,,
Dimethyl phthalate,,",Total",Dimethyl phthalate,CA-BC,BC Gov,,Working,Sediment,Marine,No Effect Level,0.53,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,,
Dimethyl phthalate,,",Total",Dimethyl phthalate,CA-BC,BC Gov,,Working,Sediment,Marine,Probable Effect Level ,0.53,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,,
Arsenic,,Dissolved,Arsenic,"US,CA-QC,CA-MB",USEPA,WQC,Approved,Water,Freshwater,Acute,340,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/metals-criteria-interpret-aqlife-memo.pdf,,,
Arsenic,,Dissolved,Arsenic,"US,CA-QC,CA-MB",USEPA,WQC,Approved,Water,Freshwater,Chronic,150,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/metals-criteria-interpret-aqlife-memo.pdf,,,
Arsenic,,Dissolved,Arsenic,"US,CA-QC,CA-MB",USEPA,WQC,Approved,Water,Marine,Acute,69,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/metals-criteria-interpret-aqlife-memo.pdf,,,
Arsenic,,Dissolved,Arsenic,"US,CA-QC,CA-MB",USEPA,WQC,Approved,Water,Marine,Chronic,36,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/metals-criteria-interpret-aqlife-memo.pdf,,,
Chlorate,,Dissolved,Chlorate,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,30,mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorate-tr.pdf,,MK,2020-12-14
Fluoranthene,,",Total",Fluoranthene,CA-BC,BC Gov,,Approved,Sediment,Freshwater,No Effect Level,2,ug/g,,Table 27,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf,,MK,2020-12-07
Chlorate,,Dissolved,Chlorate,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,5,mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorate-tr.pdf,,MK,2020-12-14
Chloride,,Dissolved,Chloride,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Acute,600,mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chloride-or.pdf,,MK,2020-12-14
Chloride,,Dissolved,Chloride,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Chronic,150,mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chloride-or.pdf,,MK,2020-12-14
Fluorene,,",Total",Fluorene,CA-BC,BC Gov,,Approved,Sediment,Freshwater,No Effect Level,0.2,ug/g,,Table 27,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf,,MK,2020-12-07
Fluorene,,",Total",Fluorene,CA-BC,BC Gov,,Approved,Sediment,Marine,No Effect Level,0.2,ug/g,,Table 27,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf,,MK,2020-12-07
Chloride,,Dissolved,Chloride,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,"[0.9(DCl),1.1(DCl)]",mg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chloride-or.pdf,Human activities should not cause the chloride of marine and estuarine waters to fluctuate by more than 10% of the natural chloride expected at that time and depth.,MK,2020-12-14
Ammonia,as N,Unfiltered,Ammonia (un-ionized),"CA,CA-AB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.016,mg/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=6,,MK,2020-09-15
Ammonia,as NH3,Unfiltered,Ammonia (un-ionized),"CA,CA-AB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.019,mg/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=6,,MK,2020-09-15
Chlorine,,Total Residual,Chlorine,"CA-BC,CA-YT",BC Gov,,Approved,Water,Freshwater,Acute,100,ug/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorine-tech.pdf,"TRC = total residual Cl in fresh water. The continuous exposure average should be based on at least 5 samples equally spaced in time, and the averaging period should be between 4d to 30d._CPO = Cl-produced oxidants in marine or estuarine water. The continuous exposure average should be based on at least 5 samples equally spaced in time, and the averaging period should be between 2d to 30d",MK,2020-12-14
Hexachlorobenzene,,",Total",Hexachlorobenzene,CA-BC,BC Gov,,Working,Sediment,Marine,No Effect Level,0.0038,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,,
Hexachlorobenzene,,",Total",Hexachlorobenzene,CA-BC,BC Gov,,Working,Sediment,Marine,Probable Effect Level ,0.023,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,,
Hexachlorobutadiene,,",Total",Hexachlorobutadiene,CA-BC,BC Gov,,Working,Sediment,Marine,No Effect Level,0.039,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,,
Hexachlorobutadiene,,",Total",Hexachlorobutadiene,CA-BC,BC Gov,,Working,Sediment,Marine,Probable Effect Level ,0.062,µg/g,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/bc_env_working_water_quality_guidelines.pdf,,,
