Characteristic Name,Method Speciation,Sample Fraction,Parameter,Region,Guideline Publisher,Guideline Name,Status,Media Name,Freshwater or Marine,Guideline Type,Value,Unit,Notes,Look-up table ,Spec Sheet Url,Last Reviewed,Reviewer
Copper,,Total,Copper,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),35700,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?factsheet=71,,
Copper,,Total,Copper,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),197000,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?factsheet=71,,
Copper,,Total,Copper,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),18700,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?factsheet=71,,
Copper,,Total,Copper,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),108000,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?factsheet=71,,
"DDD, o,p'- and p,p'- isomers",,,DDD,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),3.54,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=77,,
"DDD, o,p'- and p,p'- isomers",,,DDD,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),8.51,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=77,,
"DDD, o,p'- and p,p'- isomers",,,DDD,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),1.22,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=77,,
"DDD, o,p'- and p,p'- isomers",,,DDD,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),7.81,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=77,,
"DDE, o,p'- and p,p'- isomers",,,DDE,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),1.42,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=78,,
"DDE, o,p'- and p,p'- isomers",,,DDE,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),6.75,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=78,,
"DDE, o,p'- and p,p'- isomers",,,DDE,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),2.07,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=78,,
"DDE, o,p'- and p,p'- isomers",,,DDE,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),374,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=78,,
"DDT, o,p'- and p,p'- isomers",,,DDT,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),1.19,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=283,,
"DDT, o,p'- and p,p'- isomers",,,DDT,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),4.77,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=283,,
"DDT, o,p'- and p,p'- isomers",,,DDT,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),1.19,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=283,,
"DDT, o,p'- and p,p'- isomers",,,DDT,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),4.77,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=283,,
"Dibenz[a,h]anthracene",,,"Dibenz(a,h)anthracene","CA,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),6.22,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=185,,
"Dibenz[a,h]anthracene",,,"Dibenz(a,h)anthracene","CA,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),135,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=185,,
"Dibenz[a,h]anthracene",,,"Dibenz(a,h)anthracene","CA,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),6.22,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=185,,
"Dibenz[a,h]anthracene",,,"Dibenz(a,h)anthracene","CA,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),135,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=185,,
Dieldrin,,,Dieldrin,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),2.85,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=86,,
Dieldrin,,,Dieldrin,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),6.67,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=86,,
Dieldrin,,,Dieldrin,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),0.71,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=86,,
Dieldrin,,,Dieldrin,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),4.3,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=86,,
Endrin,,,Endrin,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),2.67,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=94,,
Endrin,,,Endrin,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),62.4,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=94,,
Endrin,,,Endrin,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),2.67,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=94,,
Endrin,,,Endrin,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),62.4,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=94,,
Fluoranthene,,,Fluoranthene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),111,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=186,,
Fluoranthene,,,Fluoranthene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),2355,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=186,,
Fluoranthene,,,Fluoranthene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),113,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=186,,
Fluoranthene,,,Fluoranthene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),1494,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=186,,
Fluorene,,,Fluorene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),21.2,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=187,,
Fluorene,,,Fluorene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),144,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=187,,
Fluorene,,,Fluorene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),21.2,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=187,,
Fluorene,,,Fluorene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),144,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=187,,
Heptachlor,,,Heptachlor,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),0.6,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=112,,
Heptachlor,,,Heptachlor,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),2.74,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=112,,
Heptachlor,,,Heptachlor,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),0.6,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=112,,
Heptachlor,,,Heptachlor,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),2.74,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=112,,
Lindane,,Total,Hexachlorocyclohexane,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),0.94,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=125,,
Lindane,,Total,Hexachlorocyclohexane,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),1.38,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=125,,
Lindane,,Total,Hexachlorocyclohexane,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),0.32,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=125,,
Lindane,,Total,Hexachlorocyclohexane,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),0.99,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=125,,
Lead,,Total,Lead,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),35000,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=124,,
Lead,,Total,Lead,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),91300,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=124,,
Lead,,Total,Lead,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),30200,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=124,,
Lead,,Total,Lead,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),112000,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=124,,
Mercury,,Total,Mercury,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),170,µg/kg dry weight,,,http://ceqg-rcqe.ccme.ca/download/en/191/,,
Mercury,,Total,Mercury,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),486,µg/kg dry weight,,,http://ceqg-rcqe.ccme.ca/download/en/191/,,
Mercury,,Total,Mercury,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),130,µg/kg dry weight,,,http://ceqg-rcqe.ccme.ca/download/en/191/,,
Mercury,,Total,Mercury,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),700,µg/kg dry weight,,,http://ceqg-rcqe.ccme.ca/download/en/191/,,
Naphthalene,,,Naphthalene,"CA,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),34.6,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=190,,
Naphthalene,,,Naphthalene,"CA,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),391,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=190,,
Naphthalene,,,Naphthalene,"CA,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),34.6,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=190,,
Naphthalene,,,Naphthalene,"CA,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),391,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=190,,
Nonylphenol,,,Nonylphenol and its ethoxylates,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),1400,µg/kg dry weight,,,http://ceqg-rcqe.ccme.ca/download/en/198/,,
Nonylphenol,,,Nonylphenol and its ethoxylates,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),1000,µg/kg dry weight,,,http://ceqg-rcqe.ccme.ca/download/en/198/,,
Total PCBs,,,PCBs,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),34.1,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=174,,
Total PCBs,,,PCBs,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),277,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=174,,
Total PCBs,,,PCBs,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),21.5,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=174,,
Total PCBs,,,PCBs,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),189,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=174,,
Phenanthrene,,,Phenanthrene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),41.9,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=191,,
Phenanthrene,,,Phenanthrene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),515,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=191,,
Phenanthrene,,,Phenanthrene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),86.7,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=191,,
Phenanthrene,,,Phenanthrene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),544,µg/kg dry weight,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=191,,
Pyrene,,,Pyrene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),53,µg/kg dry weight,,,http://ceqg-rcqe.ccme.ca/download/en/201/,,
Pyrene,,,Pyrene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),875,µg/kg dry weight,,,http://ceqg-rcqe.ccme.ca/download/en/201/,,
Pyrene,,,Pyrene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),153,µg/kg dry weight,,,http://ceqg-rcqe.ccme.ca/download/en/201/,,
Pyrene,,,Pyrene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),1398,µg/kg dry weight,,,http://ceqg-rcqe.ccme.ca/download/en/201/,,
Toxaphene,,,Toxaphene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),0.1,µg/kg dry weight,no PEL derived_no PEL derived,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=221,,
Toxaphene,,,Toxaphene,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),0.1,µg/kg dry weight,no PEL derived_no PEL derived,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=221,,
Zinc,,Dissolved,Zinc,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),123000,µg/kg dry weight,,,http://ceqg-rcqe.ccme.ca/download/en/360/,,
Zinc,,Dissolved,Zinc,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Freshwater,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),315000,µg/kg dry weight,,,http://ceqg-rcqe.ccme.ca/download/en/360/,,
Zinc,,Dissolved,Zinc,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),124000,µg/kg dry weight,,,http://ceqg-rcqe.ccme.ca/download/en/360/,,
Zinc,,Dissolved,Zinc,"CA,CA-AB,CA-BC,CA-QC,CA-MB",CCME,,Approved,Sediment,Marine,Probable Effect Level (CCME)/Severe Effect Level (ON)/Upper SWQG (BC),271000,µg/kg dry weight,,,http://ceqg-rcqe.ccme.ca/download/en/360/,,
"4,4'-Isopropylidenediphenol",,,Bisphenol a,CA,ECCC,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),25,mg/kg dry weight,,,https://www.canada.ca/content/dam/eccc/documents/pdf/pded/bpa/20180626-BPA-EN.pdf,8/25/2020,MK
"Chlorinated paraffins, long-chain, C18-C20",,,Chlorinated alkanes - long chain (C≥18),"CA,CA-AB",ECCC,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),100,mg/kg dry weight,,,http://www.ec.gc.ca/ese-ees/C4148C43-C35E-44EA-87A7-866E5907C42C/FEQG_Chlorinated%20Alkanes_EN.pdf,8/25/2020,MK
"Chlorinated paraffins, medium-chain, C14-C17",,,Chlorinated alkanes - medium chain (C14-17),"CA,CA-AB",ECCC,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),5.4,mg/kg dry weight,,,http://www.ec.gc.ca/ese-ees/C4148C43-C35E-44EA-87A7-866E5907C42C/FEQG_Chlorinated%20Alkanes_EN.pdf,8/25/2020,MK
"Chlorinated paraffins, short-chain, C10-C13",,,Chlorinated alkanes - short chain (C10-13),"CA,CA-AB",ECCC,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),1.8,mg/kg dry weight,,,http://www.ec.gc.ca/ese-ees/C4148C43-C35E-44EA-87A7-866E5907C42C/FEQG_Chlorinated%20Alkanes_EN.pdf,8/25/2020,MK
Hexabromocyclododecane,,,Hexabromocyclododecane (HBCD),"CA,CA-AB",ECCC,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),1.6,mg/kg dry weight,,,http://www.ec.gc.ca/ese-ees/8BA57E1C-C4D7-4B37-A2CD-2EC50030C427/FEQG_HBCD_EN.pdf,8/25/2020,MK
Tetrabromobisphenol A,,,Tetrabromobisphenol A (TBBPA),"CA,CA-AB",ECCC,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),0.6,mg/kg dry weight,,,http://www.ec.gc.ca/ese-ees/2FE86525-C439-4BC8-B20A-315AF1CB6F6A/FEQG_TBBPA_EN.pdf,8/25/2020,MK
Hexabromodiphenyl ether,,Total,hexaBDE,"CA,CA-AB",ECCC,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),440,ng/kg dry weight,,,http://www.ec.gc.ca/ese-ees/05DF7A37-60FF-403F-BB37-0CC697DBD9A3/FEQG_PBDE_EN.pdf,8/25/2020,MK
Decabromodiphenyl ether,,Total,decaBDE,"CA,CA-AB",ECCC,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),19,ng/kg dry weight,,,http://www.ec.gc.ca/ese-ees/05DF7A37-60FF-403F-BB37-0CC697DBD9A3/FEQG_PBDE_EN.pdf,,
,,,octaBDE,"CA,CA-AB",ECCC,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),5600,ng/kg dry weight,,,http://www.ec.gc.ca/ese-ees/05DF7A37-60FF-403F-BB37-0CC697DBD9A3/FEQG_PBDE_EN.pdf,8/25/2020,MK
Pentabromodiphenyl ether,,Total,pentaBDE,"CA,CA-AB",ECCC,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),0.4,ng/kg dry weight,,,http://www.ec.gc.ca/ese-ees/05DF7A37-60FF-403F-BB37-0CC697DBD9A3/FEQG_PBDE_EN.pdf,8/25/2020,MK
,,,pentaBDE (BDE-100),"CA,CA-AB",ECCC,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),0.4,ng/kg dry weight,,,http://www.ec.gc.ca/ese-ees/05DF7A37-60FF-403F-BB37-0CC697DBD9A3/FEQG_PBDE_EN.pdf,8/25/2020,MK
,,,pentaBDE (BDE-99),"CA,CA-AB",ECCC,,Approved,Sediment,Freshwater,Threshold Effect Level (CCME)/Lowest Effect Level (ON)/Lower SWQG (BC),0.4,ng/kg dry weight,,,http://www.ec.gc.ca/ese-ees/05DF7A37-60FF-403F-BB37-0CC697DBD9A3/FEQG_PBDE_EN.pdf,8/25/2020,MK
